"Intrinsic name"                                ,"Technology" ,"Header"                   ,"Function prototype"
"_mm_avg_epu16"                                 ,"SSE2"       ,"intrin.h"                 ,"__m128i _mm_avg_epu16(__m128i, __m128i);"
"_mm_avg_epu8"                                  ,"SSE2"       ,"intrin.h"                 ,"__m128i _mm_avg_epu8(__m128i, __m128i);"
"_mm_blend_epi16"                               ,"SSE41"      ,"intrin.h"                 ,"__m128i _mm_blend_epi16 (__m128i, __m128i, const int);"
"_mm_blend_epi32"                               ,"AVX2"       ,"immintrin.h"              ,"__m128i _mm_blend_epi32(__m128i, __m128i, const int);"
"_mm_blend_pd"                                  ,"SSE41"      ,"intrin.h"                 ,"__m128d _mm_blend_pd (__m128d, __m128d, const int);"
"_mm_blend_ps"                                  ,"SSE41"      ,"intrin.h"                 ,"__m128  _mm_blend_ps (__m128, __m128, const int);"
"_mm_blendv_epi8"                               ,"SSE41"      ,"intrin.h"                 ,"__m128i _mm_blendv_epi8 (__m128i, __m128i, __m128i);"
"_mm_blendv_pd"                                 ,"SSE41"      ,"intrin.h"                 ,"__m128d _mm_blendv_pd(__m128d, __m128d, __m128d);"
"_mm_blendv_ps"                                 ,"SSE41"      ,"intrin.h"                 ,"__m128  _mm_blendv_ps(__m128, __m128, __m128);"
"_mm_broadcast_ss"                              ,"AVX"        ,"immintrin.h"              ,"__m128 _mm_broadcast_ss(float const *);"
"_mm_broadcastb_epi8"                           ,"AVX2"       ,"immintrin.h"              ,"__m128i _mm_broadcastb_epi8(__m128i);"
"_mm_broadcastd_epi32"                          ,"AVX2"       ,"immintrin.h"              ,"__m128i _mm_broadcastd_epi32(__m128i);"
"_mm_broadcastq_epi64"                          ,"AVX2"       ,"immintrin.h"              ,"__m128i _mm_broadcastq_epi64(__m128i);"
"_mm_broadcastsd_pd"                            ,"AVX2"       ,"immintrin.h"              ,"__m128d _mm_broadcastsd_pd(__m128d);"
"_mm_broadcastss_ps"                            ,"AVX2"       ,"immintrin.h"              ,"__m128 _mm_broadcastss_ps(__m128);"
"_mm_broadcastw_epi16"                          ,"AVX2"       ,"immintrin.h"              ,"__m128i _mm_broadcastw_epi16(__m128i);"
"_mm_castpd_ps"                                 ,"SSSE3"      ,"intrin.h"                 ,"__m128  _mm_castpd_ps(__m128d);"
"_mm_castpd_si128"                              ,"SSSE3"      ,"intrin.h"                 ,"__m128i _mm_castpd_si128(__m128d);"
"_mm_castps_pd"                                 ,"SSSE3"      ,"intrin.h"                 ,"__m128d _mm_castps_pd(__m128);"
"_mm_castps_si128"                              ,"SSSE3"      ,"intrin.h"                 ,"__m128i _mm_castps_si128(__m128);"
"_mm_castsi128_pd"                              ,"SSSE3"      ,"intrin.h"                 ,"__m128d _mm_castsi128_pd(__m128i);"
"_mm_castsi128_ps"                              ,"SSSE3"      ,"intrin.h"                 ,"__m128  _mm_castsi128_ps(__m128i);"
"_mm_clflush"                                   ,"SSE2"       ,"intrin.h"                 ,"void _mm_clflush(void const *);"
"_mm_clmulepi64_si128"                          ,"PCLMULQDQ"  ,"immintrin.h"              ,"__m128i _mm_clmulepi64_si128 (__m128i, __m128i, const int);"
"_mm_cmov_si128"                                ,"XOP"        ,"ammintrin.h"              ,"__m128i _mm_cmov_si128(__m128i, __m128i, __m128i);"
"_mm_cmp_pd"                                    ,"AVX"        ,"immintrin.h"              ,"__m128d  _mm_cmp_pd(__m128d, __m128d, const int);"
"_mm_cmp_ps"                                    ,"AVX"        ,"immintrin.h"              ,"__m128  _mm_cmp_ps(__m128, __m128, const int);"
"_mm_cmp_sd"                                    ,"AVX"        ,"immintrin.h"              ,"__m128d  _mm_cmp_sd(__m128d, __m128d, const int);"
"_mm_cmp_ss"                                    ,"AVX"        ,"immintrin.h"              ,"__m128  _mm_cmp_ss(__m128, __m128, const int);"
"_mm_cmpeq_epi16"                               ,"SSE2"       ,"intrin.h"                 ,"__m128i _mm_cmpeq_epi16(__m128i, __m128i);"
"_mm_cmpeq_epi32"                               ,"SSE2"       ,"intrin.h"                 ,"__m128i _mm_cmpeq_epi32(__m128i, __m128i);"
"_mm_cmpeq_epi64"                               ,"SSE41"      ,"intrin.h"                 ,"__m128i _mm_cmpeq_epi64(__m128i, __m128i);"
"_mm_cmpeq_epi8"                                ,"SSE2"       ,"intrin.h"                 ,"__m128i _mm_cmpeq_epi8(__m128i, __m128i);"
"_mm_cmpeq_pd"                                  ,"SSE2"       ,"intrin.h"                 ,"__m128d _mm_cmpeq_pd(__m128d, __m128d);"
"_mm_cmpeq_ps"                                  ,"SSE"        ,"intrin.h"                 ,"__m128 _mm_cmpeq_ps(__m128, __m128);"
"_mm_cmpeq_sd"                                  ,"SSE2"       ,"intrin.h"                 ,"__m128d _mm_cmpeq_sd(__m128d, __m128d);"
"_mm_cmpeq_ss"                                  ,"SSE"        ,"intrin.h"                 ,"__m128 _mm_cmpeq_ss(__m128, __m128);"
"_mm_cmpestra"                                  ,"SSE42"      ,"intrin.h"                 ,"int _mm_cmpestra(__m128i, int, __m128i, int, const int);"
"_mm_cmpestrc"                                  ,"SSE42"      ,"intrin.h"                 ,"int _mm_cmpestrc(__m128i, int, __m128i, int, const int);"
"_mm_cmpestri"                                  ,"SSE42"      ,"intrin.h"                 ,"int _mm_cmpestri(__m128i, int, __m128i, int, const int);"
"_mm_cmpestrm"                                  ,"SSE42"      ,"intrin.h"                 ,"__m128i _mm_cmpestrm(__m128i, int, __m128i, int, const int);"
"_mm_cmpestro"                                  ,"SSE42"      ,"intrin.h"                 ,"int _mm_cmpestro(__m128i, int, __m128i, int, const int);"
"_mm_cmpestrs"                                  ,"SSE42"      ,"intrin.h"                 ,"int _mm_cmpestrs(__m128i, int, __m128i, int, const int);"
"_mm_cmpestrz"                                  ,"SSE42"      ,"intrin.h"                 ,"int _mm_cmpestrz(__m128i, int, __m128i, int, const int);"
"_mm_cmpge_pd"                                  ,"SSE2"       ,"intrin.h"                 ,"__m128d _mm_cmpge_pd(__m128d, __m128d);"
"_mm_cmpge_ps"                                  ,"SSE"        ,"intrin.h"                 ,"__m128 _mm_cmpge_ps(__m128, __m128);"
"_mm_cmpge_sd"                                  ,"SSE2"       ,"intrin.h"                 ,"__m128d _mm_cmpge_sd(__m128d, __m128d);"
"_mm_cmpge_ss"                                  ,"SSE"        ,"intrin.h"                 ,"__m128 _mm_cmpge_ss(__m128, __m128);"
"_mm_cmpgt_epi16"                               ,"SSE2"       ,"intrin.h"                 ,"__m128i _mm_cmpgt_epi16(__m128i, __m128i);"
"_mm_cmpgt_epi32"                               ,"SSE2"       ,"intrin.h"                 ,"__m128i _mm_cmpgt_epi32(__m128i, __m128i);"
"_mm_cmpgt_epi64"                               ,"SSE42"      ,"intrin.h"                 ,"__m128i _mm_cmpgt_epi64(__m128i, __m128i);"
"_mm_cmpgt_epi8"                                ,"SSE2"       ,"intrin.h"                 ,"__m128i _mm_cmpgt_epi8(__m128i, __m128i);"
"_mm_cmpgt_pd"                                  ,"SSE2"       ,"intrin.h"                 ,"__m128d _mm_cmpgt_pd(__m128d, __m128d);"
"_mm_cmpgt_ps"                                  ,"SSE"        ,"intrin.h"                 ,"__m128 _mm_cmpgt_ps(__m128, __m128);"
"_mm_cmpgt_sd"                                  ,"SSE2"       ,"intrin.h"                 ,"__m128d _mm_cmpgt_sd(__m128d, __m128d);"
"_mm_cmpgt_ss"                                  ,"SSE"        ,"intrin.h"                 ,"__m128 _mm_cmpgt_ss(__m128, __m128);"
"_mm_cmpistra"                                  ,"SSE42"      ,"intrin.h"                 ,"int _mm_cmpistra(__m128i, __m128i, const int);"
"_mm_cmpistrc"                                  ,"SSE42"      ,"intrin.h"                 ,"int _mm_cmpistrc(__m128i, __m128i, const int);"
"_mm_cmpistri"                                  ,"SSE42"      ,"intrin.h"                 ,"int _mm_cmpistri(__m128i, __m128i, const int);"
"_mm_cmpistrm"                                  ,"SSE42"      ,"intrin.h"                 ,"__m128i _mm_cmpistrm(__m128i, __m128i, const int);"
"_mm_cmpistro"                                  ,"SSE42"      ,"intrin.h"                 ,"int _mm_cmpistro(__m128i, __m128i, const int);"
"_mm_cmpistrs"                                  ,"SSE42"      ,"intrin.h"                 ,"int _mm_cmpistrs(__m128i, __m128i, const int);"
"_mm_cmpistrz"                                  ,"SSE42"      ,"intrin.h"                 ,"int _mm_cmpistrz(__m128i, __m128i, const int);"
"_mm_cmple_pd"                                  ,"SSE2"       ,"intrin.h"                 ,"__m128d _mm_cmple_pd(__m128d, __m128d);"
"_mm_cmple_ps"                                  ,"SSE"        ,"intrin.h"                 ,"__m128 _mm_cmple_ps(__m128, __m128);"
"_mm_cmple_sd"                                  ,"SSE2"       ,"intrin.h"                 ,"__m128d _mm_cmple_sd(__m128d, __m128d);"
"_mm_cmple_ss"                                  ,"SSE"        ,"intrin.h"                 ,"__m128 _mm_cmple_ss(__m128, __m128);"
"_mm_cmplt_epi16"                               ,"SSE2"       ,"intrin.h"                 ,"__m128i _mm_cmplt_epi16(__m128i, __m128i);"
"_mm_cmplt_epi32"                               ,"SSE2"       ,"intrin.h"                 ,"__m128i _mm_cmplt_epi32(__m128i, __m128i);"
"_mm_cmplt_epi8"                                ,"SSE2"       ,"intrin.h"                 ,"__m128i _mm_cmplt_epi8(__m128i, __m128i);"
"_mm_cmplt_pd"                                  ,"SSE2"       ,"intrin.h"                 ,"__m128d _mm_cmplt_pd(__m128d, __m128d);"
"_mm_cmplt_ps"                                  ,"SSE"        ,"intrin.h"                 ,"__m128 _mm_cmplt_ps(__m128, __m128);"
"_mm_cmplt_sd"                                  ,"SSE2"       ,"intrin.h"                 ,"__m128d _mm_cmplt_sd(__m128d, __m128d);"
"_mm_cmplt_ss"                                  ,"SSE"        ,"intrin.h"                 ,"__m128 _mm_cmplt_ss(__m128, __m128);"
"_mm_cmpneq_pd"                                 ,"SSE2"       ,"intrin.h"                 ,"__m128d _mm_cmpneq_pd(__m128d, __m128d);"
"_mm_cmpneq_ps"                                 ,"SSE"        ,"intrin.h"                 ,"__m128 _mm_cmpneq_ps(__m128, __m128);"
"_mm_cmpneq_sd"                                 ,"SSE2"       ,"intrin.h"                 ,"__m128d _mm_cmpneq_sd(__m128d, __m128d);"
"_mm_cmpneq_ss"                                 ,"SSE"        ,"intrin.h"                 ,"__m128 _mm_cmpneq_ss(__m128, __m128);"
"_mm_cmpnge_pd"                                 ,"SSE2"       ,"intrin.h"                 ,"__m128d _mm_cmpnge_pd(__m128d, __m128d);"
"_mm_cmpnge_ps"                                 ,"SSE"        ,"intrin.h"                 ,"__m128 _mm_cmpnge_ps(__m128, __m128);"
"_mm_cmpnge_sd"                                 ,"SSE2"       ,"intrin.h"                 ,"__m128d _mm_cmpnge_sd(__m128d, __m128d);"
"_mm_cmpnge_ss"                                 ,"SSE"        ,"intrin.h"                 ,"__m128 _mm_cmpnge_ss(__m128, __m128);"
"_mm_cmpngt_pd"                                 ,"SSE2"       ,"intrin.h"                 ,"__m128d _mm_cmpngt_pd(__m128d, __m128d);"
"_mm_cmpngt_ps"                                 ,"SSE"        ,"intrin.h"                 ,"__m128 _mm_cmpngt_ps(__m128, __m128);"
"_mm_cmpngt_sd"                                 ,"SSE2"       ,"intrin.h"                 ,"__m128d _mm_cmpngt_sd(__m128d, __m128d);"
"_mm_cmpngt_ss"                                 ,"SSE"        ,"intrin.h"                 ,"__m128 _mm_cmpngt_ss(__m128, __m128);"
"_mm_cmpnle_pd"                                 ,"SSE2"       ,"intrin.h"                 ,"__m128d _mm_cmpnle_pd(__m128d, __m128d);"
"_mm_cmpnle_ps"                                 ,"SSE"        ,"intrin.h"                 ,"__m128 _mm_cmpnle_ps(__m128, __m128);"
"_mm_cmpnle_sd"                                 ,"SSE2"       ,"intrin.h"                 ,"__m128d _mm_cmpnle_sd(__m128d, __m128d);"
"_mm_cmpnle_ss"                                 ,"SSE"        ,"intrin.h"                 ,"__m128 _mm_cmpnle_ss(__m128, __m128);"
"_mm_cmpnlt_pd"                                 ,"SSE2"       ,"intrin.h"                 ,"__m128d _mm_cmpnlt_pd(__m128d, __m128d);"
"_mm_cmpnlt_ps"                                 ,"SSE"        ,"intrin.h"                 ,"__m128 _mm_cmpnlt_ps(__m128, __m128);"
"_mm_cmpnlt_sd"                                 ,"SSE2"       ,"intrin.h"                 ,"__m128d _mm_cmpnlt_sd(__m128d, __m128d);"
"_mm_cmpnlt_ss"                                 ,"SSE"        ,"intrin.h"                 ,"__m128 _mm_cmpnlt_ss(__m128, __m128);"
"_mm_cmpord_pd"                                 ,"SSE2"       ,"intrin.h"                 ,"__m128d _mm_cmpord_pd(__m128d, __m128d);"
"_mm_cmpord_ps"                                 ,"SSE"        ,"intrin.h"                 ,"__m128 _mm_cmpord_ps(__m128, __m128);"
"_mm_cmpord_sd"                                 ,"SSE2"       ,"intrin.h"                 ,"__m128d _mm_cmpord_sd(__m128d, __m128d);"
"_mm_cmpord_ss"                                 ,"SSE"        ,"intrin.h"                 ,"__m128 _mm_cmpord_ss(__m128, __m128);"
"_mm_cmpunord_pd"                               ,"SSE2"       ,"intrin.h"                 ,"__m128d _mm_cmpunord_pd(__m128d, __m128d);"
"_mm_cmpunord_ps"                               ,"SSE"        ,"intrin.h"                 ,"__m128 _mm_cmpunord_ps(__m128, __m128);"
"_mm_cmpunord_sd"                               ,"SSE2"       ,"intrin.h"                 ,"__m128d _mm_cmpunord_sd(__m128d, __m128d);"
"_mm_cmpunord_ss"                               ,"SSE"        ,"intrin.h"                 ,"__m128 _mm_cmpunord_ss(__m128, __m128);"
"_mm_com_epi16"                                 ,"XOP"        ,"ammintrin.h"              ,"__m128i _mm_com_epi16(__m128i, __m128i, int);"
"_mm_com_epi32"                                 ,"XOP"        ,"ammintrin.h"              ,"__m128i _mm_com_epi32(__m128i, __m128i, int);"
"_mm_com_epi64"                                 ,"XOP"        ,"ammintrin.h"              ,"__m128i _mm_com_epi32(__m128i, __m128i, int);"
"_mm_com_epi8"                                  ,"XOP"        ,"ammintrin.h"              ,"__m128i _mm_com_epi8(__m128i, __m128i, int);"
"_mm_com_epu16"                                 ,"XOP"        ,"ammintrin.h"              ,"__m128i _mm_com_epu16(__m128i, __m128i, int);"
"_mm_com_epu32"                                 ,"XOP"        ,"ammintrin.h"              ,"__m128i _mm_com_epu32(__m128i, __m128i, int);"
"_mm_com_epu64"                                 ,"XOP"        ,"ammintrin.h"              ,"__m128i _mm_com_epu32(__m128i, __m128i, int);"
"_mm_com_epu8"                                  ,"XOP"        ,"ammintrin.h"              ,"__m128i _mm_com_epu8(__m128i, __m128i, int);"
"_mm_comieq_sd"                                 ,"SSE2"       ,"intrin.h"                 ,"int _mm_comieq_sd(__m128d, __m128d);"
"_mm_comieq_ss"                                 ,"SSE"        ,"intrin.h"                 ,"int _mm_comieq_ss(__m128, __m128);"
"_mm_comige_sd"                                 ,"SSE2"       ,"intrin.h"                 ,"int _mm_comige_sd(__m128d, __m128d);"
"_mm_comige_ss"                                 ,"SSE"        ,"intrin.h"                 ,"int _mm_comige_ss(__m128, __m128);"
"_mm_comigt_sd"                                 ,"SSE2"       ,"intrin.h"                 ,"int _mm_comigt_sd(__m128d, __m128d);"
"_mm_comigt_ss"                                 ,"SSE"        ,"intrin.h"                 ,"int _mm_comigt_ss(__m128, __m128);"
"_mm_comile_sd"                                 ,"SSE2"       ,"intrin.h"                 ,"int _mm_comile_sd(__m128d, __m128d);"
"_mm_comile_ss"                                 ,"SSE"        ,"intrin.h"                 ,"int _mm_comile_ss(__m128, __m128);"
"_mm_comilt_sd"                                 ,"SSE2"       ,"intrin.h"                 ,"int _mm_comilt_sd(__m128d, __m128d);"
"_mm_comilt_ss"                                 ,"SSE"        ,"intrin.h"                 ,"int _mm_comilt_ss(__m128, __m128);"
"_mm_comineq_sd"                                ,"SSE2"       ,"intrin.h"                 ,"int _mm_comineq_sd(__m128d, __m128d);"
"_mm_comineq_ss"                                ,"SSE"        ,"intrin.h"                 ,"int _mm_comineq_ss(__m128, __m128);"
"_mm_crc32_u16"                                 ,"SSE42"      ,"intrin.h"                 ,"unsigned int _mm_crc32_u16(unsigned int, unsigned short);"
"_mm_crc32_u32"                                 ,"SSE42"      ,"intrin.h"                 ,"unsigned int _mm_crc32_u32(unsigned int, unsigned int);"
"_mm_crc32_u64"                                 ,"SSE42"      ,"intrin.h"                 ,"unsigned __int64 _mm_crc32_u64(unsigned __int64, unsigned __int64);"
"_mm_crc32_u8"                                  ,"SSE42"      ,"intrin.h"                 ,"unsigned int _mm_crc32_u8(unsigned int, unsigned char);"
"_mm_cvt_si2ss"                                 ,"SSE"        ,"intrin.h"                 ,"__m128 _mm_cvt_si2ss(__m128, int);"
"_mm_cvt_ss2si"                                 ,"SSE"        ,"intrin.h"                 ,"int _mm_cvt_ss2si(__m128);"
"_mm_cvtepi16_epi32"                            ,"SSE41"      ,"intrin.h"                 ,"__m128i _mm_cvtepi16_epi32(__m128i);"
"_mm_cvtepi16_epi64"                            ,"SSE41"      ,"intrin.h"                 ,"__m128i _mm_cvtepi16_epi64(__m128i);"
"_mm_cvtepi32_epi64"                            ,"SSE41"      ,"intrin.h"                 ,"__m128i _mm_cvtepi32_epi64(__m128i);"
"_mm_cvtepi32_pd"                               ,"SSE2"       ,"intrin.h"                 ,"__m128d _mm_cvtepi32_pd(__m128i);"
"_mm_cvtepi32_ps"                               ,"SSE2"       ,"intrin.h"                 ,"__m128 _mm_cvtepi32_ps(__m128i);"
"_mm_cvtepi8_epi16"                             ,"SSE41"      ,"intrin.h"                 ,"__m128i _mm_cvtepi8_epi16 (__m128i);"
"_mm_cvtepi8_epi32"                             ,"SSE41"      ,"intrin.h"                 ,"__m128i _mm_cvtepi8_epi32 (__m128i);"
"_mm_cvtepi8_epi64"                             ,"SSE41"      ,"intrin.h"                 ,"__m128i _mm_cvtepi8_epi64 (__m128i);"
"_mm_cvtepu16_epi32"                            ,"SSE41"      ,"intrin.h"                 ,"__m128i _mm_cvtepu16_epi32(__m128i);"
"_mm_cvtepu16_epi64"                            ,"SSE41"      ,"intrin.h"                 ,"__m128i _mm_cvtepu16_epi64(__m128i);"
"_mm_cvtepu32_epi64"                            ,"SSE41"      ,"intrin.h"                 ,"__m128i _mm_cvtepu32_epi64(__m128i);"
"_mm_cvtepu8_epi16"                             ,"SSE41"      ,"intrin.h"                 ,"__m128i _mm_cvtepu8_epi16 (__m128i);"
"_mm_cvtepu8_epi32"                             ,"SSE41"      ,"intrin.h"                 ,"__m128i _mm_cvtepu8_epi32 (__m128i);"
"_mm_cvtepu8_epi64"                             ,"SSE41"      ,"intrin.h"                 ,"__m128i _mm_cvtepu8_epi64 (__m128i);"
"_mm_cvtpd_epi32"                               ,"SSE2"       ,"intrin.h"                 ,"__m128i _mm_cvtpd_epi32(__m128d);"
"_mm_cvtpd_ps"                                  ,"SSE2"       ,"intrin.h"                 ,"__m128 _mm_cvtpd_ps(__m128d);"
"_mm_cvtph_ps"                                  ,"F16C"       ,"immintrin.h"              ,"__m128 _mm_cvtph_ps(__m128i);"
"_mm_cvtps_epi32"                               ,"SSE2"       ,"intrin.h"                 ,"__m128i _mm_cvtps_epi32(__m128);"
"_mm_cvtps_pd"                                  ,"SSE2"       ,"intrin.h"                 ,"__m128d _mm_cvtps_pd(__m128);"
"_mm_cvtps_ph"                                  ,"F16C"       ,"immintrin.h"              ,"__m128i _mm_cvtps_ph(__m128, const int);"
"_mm_cvtsd_f64"                                 ,"SSSE3"      ,"intrin.h"                 ,"double _mm_cvtsd_f64(__m128d);"
"_mm_cvtsd_si32"                                ,"SSE2"       ,"intrin.h"                 ,"int _mm_cvtsd_si32(__m128d);"
"_mm_cvtsd_si64"                                ,"SSE2"       ,"intrin.h"                 ,"__int64 _mm_cvtsd_si64(__m128d);"
"_mm_cvtsd_si64x"                               ,"SSE2"       ,"intrin.h"                 ,"__int64 _mm_cvtsd_si64x(__m128d);"
"_mm_cvtsd_ss"                                  ,"SSE2"       ,"intrin.h"                 ,"__m128 _mm_cvtsd_ss(__m128, __m128d);"
"_mm_cvtsi128_si32"                             ,"SSE2"       ,"intrin.h"                 ,"int _mm_cvtsi128_si32(__m128i);"
"_mm_cvtsi128_si64"                             ,"SSE2"       ,"intrin.h"                 ,"__int64 _mm_cvtsi128_si64(__m128i);"
"_mm_cvtsi128_si64x"                            ,"SSE2"       ,"intrin.h"                 ,"__int64 _mm_cvtsi128_si64x(__m128i);"
"_mm_cvtsi32_sd"                                ,"SSE2"       ,"intrin.h"                 ,"__m128d _mm_cvtsi32_sd(__m128d, int);"
"_mm_cvtsi32_si128"                             ,"SSE2"       ,"intrin.h"                 ,"__m128i _mm_cvtsi32_si128(int);"
"_mm_cvtsi64_sd"                                ,"SSE2"       ,"intrin.h"                 ,"__m128d _mm_cvtsi64_sd(__m128d, __int64);"
"_mm_cvtsi64_si128"                             ,"SSE2"       ,"intrin.h"                 ,"__m128i _mm_cvtsi64_si128(__int64);"
"_mm_cvtsi64_ss"                                ,"SSE"        ,"intrin.h"                 ,"__m128  _mm_cvtsi64_ss(__m128, __int64);"
"_mm_cvtsi64x_sd"                               ,"SSE2"       ,"intrin.h"                 ,"__m128d _mm_cvtsi64x_sd(__m128d, __int64);"
"_mm_cvtsi64x_si128"                            ,"SSE2"       ,"intrin.h"                 ,"__m128i _mm_cvtsi64x_si128(__int64);"
"_mm_cvtsi64x_ss"                               ,"SSE2"       ,"intrin.h"                 ,"__m128 _mm_cvtsi64x_ss(__m128, __int64);"
"_mm_cvtss_f32"                                 ,"SSSE3"      ,"intrin.h"                 ,"float _mm_cvtss_f32(__m128);"
"_mm_cvtss_sd"                                  ,"SSE2"       ,"intrin.h"                 ,"__m128d _mm_cvtss_sd(__m128d, __m128);"
"_mm_cvtss_si64"                                ,"SSE"        ,"intrin.h"                 ,"__int64 _mm_cvtss_si64(__m128);"
"_mm_cvtss_si64x"                               ,"SSE2"       ,"intrin.h"                 ,"__int64 _mm_cvtss_si64x(__m128);"
"_mm_cvtt_ss2si"                                ,"SSE"        ,"intrin.h"                 ,"int _mm_cvtt_ss2si(__m128);"
"_mm_cvttpd_epi32"                              ,"SSE2"       ,"intrin.h"                 ,"__m128i _mm_cvttpd_epi32(__m128d);"
"_mm_cvttps_epi32"                              ,"SSE2"       ,"intrin.h"                 ,"__m128i _mm_cvttps_epi32(__m128);"
"_mm_cvttsd_si32"                               ,"SSE2"       ,"intrin.h"                 ,"int _mm_cvttsd_si32(__m128d);"
"_mm_cvttsd_si64"                               ,"SSE2"       ,"intrin.h"                 ,"__int64 _mm_cvttsd_si64(__m128d);"
"_mm_cvttsd_si64x"                              ,"SSE2"       ,"intrin.h"                 ,"__int64 _mm_cvttsd_si64x(__m128d);"
"_mm_cvttss_si64"                               ,"SSE2"       ,"intrin.h"                 ,"__int64 _mm_cvttss_si64(__m128);"
"_mm_cvttss_si64x"                              ,"SSE2"       ,"intrin.h"                 ,"__int64 _mm_cvttss_si64x(__m128);"
"_mm_div_pd"                                    ,"SSE2"       ,"intrin.h"                 ,"__m128d _mm_div_pd(__m128d, __m128d);"
"_mm_div_ps"                                    ,"SSE"        ,"intrin.h"                 ,"__m128 _mm_div_ps(__m128, __m128);"
"_mm_div_sd"                                    ,"SSE2"       ,"intrin.h"                 ,"__m128d _mm_div_sd(__m128d, __m128d);"
"_mm_div_ss"                                    ,"SSE"        ,"intrin.h"                 ,"__m128 _mm_div_ss(__m128, __m128);"
"_mm_dp_pd"                                     ,"SSE41"      ,"intrin.h"                 ,"__m128d _mm_dp_pd(__m128d, __m128d, const int);"
"_mm_dp_ps"                                     ,"SSE41"      ,"intrin.h"                 ,"__m128  _mm_dp_ps(__m128, __m128, const int);"
"_mm_extract_epi16"                             ,"SSE2"       ,"intrin.h"                 ,"int _mm_extract_epi16(__m128i, int);"
"_mm_extract_epi32"                             ,"SSE41"      ,"intrin.h"                 ,"int   _mm_extract_epi32(__m128i, const int);"
"_mm_extract_epi64"                             ,"SSE41"      ,"intrin.h"                 ,"__int64 _mm_extract_epi64(__m128i, const int);"
"_mm_extract_epi8"                              ,"SSE41"      ,"intrin.h"                 ,"int   _mm_extract_epi8 (__m128i, const int);"
"_mm_extract_ps"                                ,"SSE41"      ,"intrin.h"                 ,"int _mm_extract_ps(__m128, const int);"
"_mm_extract_si64"                              ,"SSE4a"      ,"intrin.h"                 ,"__m128i _mm_extract_si64(__m128i, __m128i);"
"_mm_extracti_si64"                             ,"SSE4a"      ,"intrin.h"                 ,"__m128i _mm_extracti_si64(__m128i, int, int);"
"_mm_fmadd_pd"                                  ,"FMA"        ,"immintrin.h"              ,"__m128d _mm_fmadd_pd (__m128d, __m128d, __m128d);"
"_mm_fmadd_ps"                                  ,"FMA"        ,"immintrin.h"              ,"__m128 _mm_fmadd_ps (__m128, __m128, __m128);"
"_mm_fmadd_sd"                                  ,"FMA"        ,"immintrin.h"              ,"__m128d _mm_fmadd_sd (__m128d, __m128d, __m128d);"
"_mm_fmadd_ss"                                  ,"FMA"        ,"immintrin.h"              ,"__m128 _mm_fmadd_ss (__m128, __m128, __m128);"
"_mm_fmaddsub_pd"                               ,"FMA"        ,"immintrin.h"              ,"__m128d _mm_fmaddsub_pd (__m128d, __m128d, __m128d);"
"_mm_fmaddsub_ps"                               ,"FMA"        ,"immintrin.h"              ,"__m128 _mm_fmaddsub_ps (__m128, __m128, __m128);"
"_mm_fmsub_pd"                                  ,"FMA"        ,"immintrin.h"              ,"__m128d _mm_fmsub_pd (__m128d, __m128d, __m128d);"
"_mm_fmsub_ps"                                  ,"FMA"        ,"immintrin.h"              ,"__m128 _mm_fmsub_ps (__m128, __m128, __m128);"
"_mm_fmsub_sd"                                  ,"FMA"        ,"immintrin.h"              ,"__m128d _mm_fmsub_sd (__m128d, __m128d, __m128d);"
"_mm_fmsub_ss"                                  ,"FMA"        ,"immintrin.h"              ,"__m128 _mm_fmsub_ss (__m128, __m128, __m128);"
"_mm_fmsubadd_pd"                               ,"FMA"        ,"immintrin.h"              ,"__m128d _mm_fmsubadd_pd (__m128d, __m128d, __m128d);"
"_mm_fmsubadd_ps"                               ,"FMA"        ,"immintrin.h"              ,"__m128 _mm_fmsubadd_ps (__m128, __m128, __m128);"
"_mm_fnmadd_pd"                                 ,"FMA"        ,"immintrin.h"              ,"__m128d _mm_fnmadd_pd (__m128d, __m128d, __m128d);"
"_mm_fnmadd_ps"                                 ,"FMA"        ,"immintrin.h"              ,"__m128 _mm_fnmadd_ps (__m128, __m128, __m128);"
"_mm_fnmadd_sd"                                 ,"FMA"        ,"immintrin.h"              ,"__m128d _mm_fnmadd_sd (__m128d, __m128d, __m128d);"
"_mm_fnmadd_ss"                                 ,"FMA"        ,"immintrin.h"              ,"__m128 _mm_fnmadd_ss (__m128, __m128, __m128);"
"_mm_fnmsub_pd"                                 ,"FMA"        ,"immintrin.h"              ,"__m128d _mm_fnmsub_pd (__m128d, __m128d, __m128d);"
"_mm_fnmsub_ps"                                 ,"FMA"        ,"immintrin.h"              ,"__m128 _mm_fnmsub_ps (__m128, __m128, __m128);"
"_mm_fnmsub_sd"                                 ,"FMA"        ,"immintrin.h"              ,"__m128d _mm_fnmsub_sd (__m128d, __m128d, __m128d);"
"_mm_fnmsub_ss"                                 ,"FMA"        ,"immintrin.h"              ,"__m128 _mm_fnmsub_ss (__m128, __m128, __m128);"
"_mm_frcz_pd"                                   ,"XOP"        ,"ammintrin.h"              ,"__m128d _mm_frcz_pd(__m128d);"
"_mm_frcz_ps"                                   ,"XOP"        ,"ammintrin.h"              ,"__m128 _mm_frcz_ps(__m128);"
"_mm_frcz_sd"                                   ,"XOP"        ,"ammintrin.h"              ,"__m128d _mm_frcz_sd(__m128d, __m128d);"
